Số tuyến,Tên tuyến,,,Trạm ,Cự ly,Thời gian hoạt động,Thời gian chuyến,Tuần suất mỗi chuyến,Loại xe,Đơn vị đảm nhiệm,Hình thức thanh toán,Ghi chú
43,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,"Phà Cát Lái
Bãi xe bến phà Cát Lái
Đường A, Phường Cát Lái",Bến xe Miền Đông-Đinh Bộ Lĩnh-Bạch Đằng-Xô Viết Nghệ Tĩnh-Điện Biên Phủ-Cầu Sài Gòn-Xa Lộ Hà Nội-Trần Não- Lương Định Của-(nút giao An Phú)-Nguyễn Thị Định-(Cầu Mỹ Thủy 2)-Nguyễn Thị Định-Bến phà Cát Lái-(quay đầu)-Ngã 3 Nguyễn Thị Định và đường A1,"15,8 km",05:00 - 19:00,50 – 55 phút,14 – 16 phút,Samco City Hi-Class I.40,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)","Tiền mặt
Thẻ ngân hàng
Ví điện tử",
44,"Cảng Quận 4
Bến xe buýt Kho Muối
Tôn Thất Thuyết, Phường Vĩnh Hội",↔,"Bình Quới
Bãi xe bến đò Bình Quới
Bình Quới, Phường Bình Qưới",Cảng Quận 4 - Tôn Thất Thuyết - Tôn Đản - Vĩnh Hội - Tân Vĩnh - Hoàng Diệu - Đoàn Văn Bơ - cầu Calmette – Calmette – Trần Hung Đạo - Hàm Nghi - Pasteur - Lý Tự Trọng - Tôn Đức Thắng - Nguyễn Hữu Cảnh - Ngô Tất Tố - Nguyễn Văn Lạc - Xô Viết Nghệ Tĩnh - Bình Quới – Bến đò Bình Quới;,"16,65 km",05:00 - 22:00,60 phút,10 – 20 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
45,"Đại học Kinh tế
Nguyễn Văn Linh, Xã Bình Hưng",Bến Thành ↔,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",Bến xe Quận 8 - Quốc lộ 50 - (cầu Nhị Thiên Đường) - Tùng Thiện Vương - Xóm Củi - (cầu Chà Và) - Vạn Kiếp - Hải Thượng Lãn Ông - (Quay đầu tại giao lộ Triệu Quang Phục) - Hải Thượng Lãn Ông - Châu Văn Liêm - Thuận Kiều - Nguyễn Chí Thanh - Sư Vạn Hạnh - An Dương Vương - Nguyễn Văn Cừ - Nguyễn Trãi - Nguyễn Cư Trinh - Trần Hưng Đạo - Hàm Nghi - Hồ Tùng Mậu - đường nhánh S2 - Tôn Đức Thắng - Hai Bà Trưng - Nguyễn Thị Minh Khai - Nguyễn Bỉnh Khiêm - Điện Biên Phủ - Xô Viết Nghệ Tĩnh - Đinh Bộ Lĩnh - Bến xe Miền Đông,"22,3 km",04:45 - 20:00,65 – 80 phút,10 – 15 phút,Samco City H.68 CNG,,"Tiền mặt
Thẻ ngân hàng",
46,"Cảng Quận 4
Bến xe buýt Kho Muối
Tôn Thất Thuyết, Phường Vĩnh Hội",↔,"Bến Mễ Cốc
Bãi xe Bến Mễ Cốc
Lưu Hữu Phước, Phường Phú Định",Bến xe Cảng Quận 4 (dưới chân cầu Kênh Tẻ) - Tôn Thất Thuyết -Nguyễn Khoái - Bến Vân Đồn - Vĩnh Khánh - Hoàng Diệu - cầu Ông Lãnh - Nguyễn Thái Học - Nguyễn Thị Nghĩa - vòng xoay Phù Đổng - Nguyễn Trãi - Nguyễn Biểu - cầu Chữ Y - Hưng Phú - Xóm Củi - Đường vòng Chân cầu Chà Và - Đình Hòa - Cao Xuân Dục - Tùng Thiện Vương-Tuy Lý Vương-Nguyễn Chế Nghĩa - Bến Bình Đông - Bến Mễ Cốc - cầu số 3 - Mễ Cốc - (quay đầu tại chân cầu số 3) - đường vòng chân cầu số 3 - Lưu Hữu Phước -Chợ Rạch Cát;,"19,75 km",05:00 - 19:00,65 phút,12 – 15 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
47,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",Quốc lộ 50 ↔,"Hưng Long
Bãi xe Hưng Long
Đoàn Nguyễn Tuấn, Xã Hưng Long",Ga Chợ Lớn (Bến A) - Lê Quang Sung - Phạm Đình Hổ - Tháp Mười - Hải Thượng Lãn Ông - cầu Chà Và - Cao Xuân Dục - Tùng Thiện Vương - Quốc lộ 50 - Hương lộ 11 - Bến Hưng Long.,"17,3 km",04:00 - 19:00,50 phút,10 – 14 phút,Golden Dragon B55,,,
48,"Bến xe buýt Tân Phú
Trường Chinh, Phường Tây Thạnh",↔,"Chợ Hiệp Thành
Bến xe buýt Hiệp Thành
Hiệp Thành 17, Phường Tân Thới Hiệp",Bến xe Tân Phú-Trường Chinh-Hồ Đắc Di-Lê Trọng Tấn-Nguyễn Thị Tú-Vĩnh Lộc-Phan Văn Đối-Phan Văn Hớn-Nguyễn Ảnh Thủ-Tô Ký-Đông Bắc-Dương Thị Mười-Nguyễn Thị Kiểu-Nguyễn Thị Đặng-Nguyễn Ảnh Thủ-Hiệp Thành 13-Bến xe Hiệp Thành.,21 km,04:30 - 20:00,55 phút,10 – 20 phút,Kim Long B30 EV,,,Tuyến xe điện
50,"Đại học Bách khoa
Tô Hiến Thành, Phường Diên Hồng",↔,"Đại học Quốc gia
Bến xe buýt khu A, Đại học Quốc gia
Phường Đông Hòa",ĐH BÁCH KHOA TP HCM - Đại Học Bách Khoa - Bưu Điện Phú Thọ - Ngã ba Thành Thái - Siêu thị Nguyễn Kim - CMC Tân Bình - Trạm Cây xăng số 9 - Chợ Tân Bình - Bệnh viện chỉnh hình và Phục hồi chức năng - Bệnh viện Thống Nhất - Hội Chợ Triển lãm Tân Bình - Nhà hàng Đông Phương - Phạm Văn Hai - Cổng trước SVĐ Quân Khu 7 - Rạp Tân Sơn Nhất - Trung tâm sát hạch lái xe - Cây xăng Quân đội - Trường Đại học Kỹ thuật Công nghệ - Cuối công viên Gia Định - Ngã ba Đặng Văn Sâm - Đầu công viên Gia Định - Nhà hàng tiệc cưới Phố Đôi - Trạm cầu vượt Linh Xuân - Vietcombank - Nghĩa trang TP - ĐH Kinh tế Luật - Công ty điện tử Samsung - ĐH Nông Lâm - ĐH Nông Lâm - Đầu bến Đại học Bách Khoa - Cơ sở 2,"28,6 km",05:30 - 18:30,65 phút,15 – 25 phút,Samco City I.51 CNG,,"Tiền mặt
Thẻ ngân hàng","Tuyến không hoạt động vào các ngày nghỉ lễ, tết"
52,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",↔,,TĐH xe buýt Sài Gòn - Tôn Thất Tùng - Nguyễn Thị Nghĩa - Khách sạn New world - Bến Thành F - Bệnh viện Đa khoa Sài Gòn - Sài Gòn Centre - Lê Thánh Tôn - Lý Tự Trọng - Công viên 30/4 - Mạc Đỉnh Chi - Đinh Tiên Hoàng - Thảo Cầm Viên - Cầu Thị Nghè - Nhà Thờ Thị Nghè - Trung tâm Dưỡng Lão - Trường trung học Gia Định - Đại học Hutech - Khu Du lịch Văn Thánh - Cầu Sài Gòn - Cầu Đen - Thảo Điền - Metro Quận 2 - Cát Lái - Xi măng hà tiên - trạm thu phí - Ngã 4 Tây Hòa (RMK) - Trạm xây dựng - Khu QLGTDT số 2 - Ngã 4 Bình Thái - UBND quận 9 - Bê tông Hải Âu - Ngã 4 Thủ Đức - Công an Quận 9 - Chợ chiều - Khu Công nghệ cao quận 9 - Đại học Quốc gia,"22,53 km",05:10 - 18:15,70 phút,10 - 30 phút,Samco City I.47,,,
53,"Lê Hồng Phong
Bãi xe đường Lê Hồng Phong, Phường Chợ Quán",↔,"Đại học Quốc gia
Bến xe buýt khu B, Đại học Quốc gia
Phường Đông Hòa",Bến Lê Hồng Phong-Trần Phú-Phạm Viết Chánh-Cống Quỳnh-Nguyễn Cư Trinh-Trần Hưng Đạo-Hàm Nghi-Hồ Tùng Mậu-đường nhánh S2-Tôn Đức Thắng-Nguyễn Hữu Cảnh-Xa lộ Hà Nội-ngã tư Bình Thái-Xa lộ Hà Nội - ngã 4 Thủ Đức - Võ Văn Ngân-Lê Văn Chí-Hoàng Diệu 2-Kha Vạn Cân-Quốc lộ 1A-(Trạm 2)-Quốc lộ 1A-quay đầu tại nút mở giao thông trên đường Quốc lộ 1 qua đoạn đường 13- đường 621- (rẽ trái)-Bến xe buýt A (khu đô thị ĐH Quốc Gia TP.HCM)-(ngã ba đường vào Trường ĐH Khoa Học Tự Nhiên) - (ngã ba đường vào Trường ĐH Quốc Tế) - Đường trục chính số 1-số 5-số7-Ký túc xá B (Đại học Quốc Gia).,"32,8 km",05:00 - 19:30,75 phút,4 – 14 phút,1-5auto NewCity B55 CNG,,Tiền mặt,
55,"Công viên phần mềm Quang Trung
Bãi xe Công viên phần mềm Quang Trung
Đỗ Mười, Phường Trung Mỹ Tây",↔,"Bến xe buýt Văn Thánh
Nguyễn Văn Thương, Phường Thạnh Mỹ Tây",Công viên Phần mềm Quang Trung - Tô Ký - quay đầu ngã ba Tân Chánh Hiệp 21 và Tô Ký - Quang Trung - Nguyễn Kiệm - Hoàng Minh Giám-Đào Duy Anh - Hồ Văn Huê - Hoàng Văn Thụ - Phan Đăng Lưu - Bạch Đằng-Xô Viết Nghệ Tĩnh-Điện Biên Phủ-Xa lộ Hà Nội-Quốc lộ 52-Lê Văn Việt - Khu Công nghệ cao (Q.9).,"16,8 km",05:00 - 22:00,45 phút,6 – 15 phút,Kim Long B60 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
56,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",Bến Thành ↔,"Bến xe Miền Đông mới
Quốc lộ 1A, Phường Long Bình",Ga Chợ Lớn A - Lê Quang Sung - Nguyễn Hữu Thận - Tháp Mười - Hải Thượng Lãn Ông - Châu Văn Liêm - Hồng Bàng - An Dương Vương - Nguyễn Văn Cừ - Nguyễn Trãi - Nguyễn Cư Trinh - Trần Hưng Đạo - Hàm Nghi - Hồ Tùng Mậu - đường nhánh S2 - Tôn Đức Thắng - Nguyễn Hữu Cảnh - cầu Sài Gòn - Xa lộ Hà Nội - Nguyễn Văn Bá - Đặng Văn Bi - Võ Văn Ngân – Ngã tư Thủ Đức - Lê Văn Việt - Trường Đại học Giao thông vận tải (Quận 9) - Ký túc xá Trường Đại học Sư phạm Kỹ thuật.,"29,35 km",05:00 - 21:00,80 phút,5 – 13 phút,1-5auto NewCity B55,,Tiền mặt,
57,"Chợ Phước Bình
Trường trung cấp nghề TP.HCM cơ sở III
Đại lộ 3, Phường Phước Long",↔,"Trường THPT Hiệp Bình
Hiệp Bình, Phường Hiệp Bình",Bến chợ Phước Bình (Trường trung cấp nghề TP.HCM cơ sở III) - Đại lộ 3 - Đường số 20 - Đường số 9 - Đường số 6D - Đường số 18B - Đại lộ 2 - Đỗ Xuân Hợp - Dương Đình Hội - Đình Phong Phú - Lê Văn Việt – Ngã tư Thủ Đức - Võ Văn Ngân - Kha Vạn Cân - Hiệp Bình - Trường THPT Hiệp Bình.,"13,1 km",05:00 - 18:30,42 phút,13 – 20 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
58,"Bến xe Ngã tư Ga
Đỗ Mười, Phường An Phú Đông",↔,"Khu Công nghiệp Đông Nam
Tỉnh lộ 8, Xã Bình Mỹ",bến xe ngã 4 ga - quốc lộ 1 - đường nội bộ KDC nam long - hà huy giáp - bùi công trùng - đặng thúc vịnh - hà duy phiên - tỉnh lộ 8 - đường vào cổng A khu công nghiệp đông nam - KCN đông nam,"20,8 km",04:45 - 21:00,60 phút,10 – 20 phút,Kim Long B30 EV,,,Tuyến xe điện
59,"Bến xe buýt Quận 8
Quốc lộ 50, Phường Bình Đông",↔,"Bến xe Ngã tư Ga
Đỗ Mười, Phường An Phú Đông",Bến xe Quận 8 - Quốc lộ 50 - Phạm Thế Hiển - Đường số 1011 - Tạ Quang Bửu - Phạm Hùng - cầu Chánh Hưng - cầu Nguyễn Tri Phương - Nguyễn Tri Phương - Thành Thái - Tô Hiến Thành - Lý Thường Kiệt - Hoàng Văn Thụ - Phổ Quang - Hoàng Minh Giám - Nguyễn Thái Sơn - Phạm Ngũ Lão - Nguyễn Oanh - Hà Huy Giáp - cầu vượt ngã tư Ga - Đường vòng cầu vượt - Quốc lộ 1A - Bến xe Ngã tư Ga.,"23,7 km",04:50 - 19:00,87 phút,9 – 17 phút,Samco City I.47 Samco City I.51,,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
61,"Chợ Lớn
Bến xe buýt Chợ Lớn B, Phường Bình Tây",↔,"Khu công nghiệp Lê Minh Xuân
Trần Đại Nghĩa, Xã Bình Lợi",Ga hành khách xe buyt Chợ Lớn B - Lê Quang Sung - Phạm Đình Hổ - Hậu Giang - Nguyễn Văn Luông - Đường 26 - Trần Văn Kiểu - Đường Vành Đai - Đường 44 - Đường 59 - An Dương Vương - Kinh Dương Vương -Quốc Lộ 1A - Trần Đại Nghĩa - KCN Lê Minh Xuân,"17,73 km",04:45 - 19:00,50 phút,12 – 15 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
62,"Bến xe buýt Quận 8
Quốc lộ 50, Phường Bình Đông",↔,"Thới An
Bến xe buýt Thới An
Lê Văn Khương, Phường Thới An",Ga Hành Khách Quận 8 - Quốc Lộ 50 - Cầu Nhị Thiên Đường - Tùng Thiện Vương - Cầu Chà Và - Hải Thượng Lãng Ông - Quay Đầu Giao Lộ Triệu Quang Phục - Hải Thượng Lãng Ông -Châu Văn Liêm - Hồng Bàng - Lý Thường Kiệt - Nguyễn Chí Thanh - Thuận Kiều - Lê Đại Hành -Lãnh Binh Thăng - Ông Ích Khiêm - Hòa Bình - Lũy Bán Bích - Âu Cơ - Trường Chinh - Nguyễn Văn Quá - Tô Ký - Quốc Lộ 1A - Lê Văn Khương - Bến Xe Buýt Thới An,24 km,05:00 - 19:00,75 – 85 phút,12 – 18 phút,Samco City I.47,,"Tiền mặt
Thẻ ngân hàng",
64,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,"Đầm Sen
Bãi xe buýt Đầm Sen
Hòa Bình, Phường Bình Thới",Bến xe Miền Đông-Đinh Bộ Lĩnh-Nguyễn Xí-Nơ Trang Long-Đường Phan Chu Trinh (quay đầu trước cổng Học Viện cán bộ) - Đường Phan Chu Trinh-Phan Đăng Lưu-Hoàng Văn Thụ-Phan Đình Giót-Phan Thúc Duyện-Trần Quốc Hoàn-Hoàng Văn Thụ-Xuân Diệu-Xuân Hồng-Trường Chinh-Đồng Đen-Bàu Cát - Âu Cơ - Tân Thành - Lũy Bán Bích -Hòa Bình-Bãi xe buýt Đầm Sen.,18 km,05:30 - 19:00,55 – 65 phút,10 – 15 phút,,,,
65,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",Cách Mạng Tháng 8 ↔,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",Bến CV 23/9 – Phạm Ngũ Lão – Yersin - Trần Hưng Đạo – Hàm Nghi – quay đầu (tại giao lộ Hàm Nghi – Tôn Thất Đạm) - vòng xoay Bến Thành - Lê Lai - Phạm Hồng Thái - Cách Mạng Tháng Tám - Hoàng Văn Thụ - Xuân Diệu - Xuân Hồng - Trường Chinh - Quốc lộ 22 - Ngã 3 Công ty Việt Hưng (quay đầu) - Quốc lộ 22 - Bến xe An Sương.,"16,3 km",04:45 - 20:45,50 – 70 phút,10 – 12 phút,Samco Hi-Class I.50,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)","Tiền mặt
Thẻ ngân hàng
Ví điện tử",
67,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,"Bến xe Miền Đông mới
Quốc lộ 1A, Phường Long Bình",,"19,2 km",03:00 - 22:45,50 phút,30 – 45 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay","Không trợ giá
Tuyến xe điện"
68,"Chợ Lớn
Bến xe buýt Chợ Lớn B, Phường Bình Tây",↔,"Đại học Tài chính - Marketing
Ngô Thị Nhạn, Phường Tân Thuận",Ga Chợ Lớn B - Lê Quang Sung - Nguyễn Thị Nhỏ - Hồng Bàng - An Dương Vương - Nguyễn Tri Phương - Nguyễn Trãi - Nguyễn Biểu - cầu Chữ Y - Dạ Nam - Phạm Thế Hiển - Trần Xuân Soạn - Lê Văn Lương - Đường số 15 - Nguyễn Hữu Thọ - Trường Đại học Tôn Đức Thắng - Nguyễn Hữu Thọ - Nguyễn Văn Linh - Nguyễn Đức Cảnh – Trần Văn Trà – Nguyễn Lương Bằng – Nguyễn Văn Linh - Cầu Đa Khoa - Nguyễn Thị Thập - Huỳnh Tấn Phát - Nguyễn Văn Linh - Quay đầu dưới chân cầu Tân Thuận 2 - Đường số 13 - Bãi Đậu xe Trường Đại Học Tài Chính Marketing.,"20,15 km",05:00 - 19:00,65 phút,12 – 20 phút,Golden Dragon B55,,,
69,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",↔,"Khu dân cư Vĩnh Lộc
Trường Trí Tuệ Việt
Đường số 3, Phường Bình Tân",Bãi xe buýt Công viên 23/9 - Phạm Ngũ Lão - Yersin - Trần Hưng Đạo - Nguyễn Thái Học - Nguyễn Thị Nghĩa - Cách Mạng Tháng 8 - Nguyễn Đình Chiểu - Lý Thái Tổ - Đường 3/2 - Thành Thái - Tô Hiến Thành - Lữ Gia - Nguyễn Thị Nhỏ - Bình Thới - Ông Ích Khiêm - Hòa Bình - Lũy Bán Bích - Vườn Lài - Văn Cao - Tân Hương - Tân Quý - Gò Dầu - Bình Long - Tân Kỳ Tân Quý - Lê Trọng Tấn - Nguyễn Thị Tú - Đường số 3 - Trường Trí Tuệ Việt,"22,45 km",05:00 - 20:00,85 phút,12 – 22 phút,Samco City I.51,,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
70,"Tân Quy
Bến xe buýt Tân Quy
Tỉnh lộ 8, Xã Bình Mỹ",↔,"Bến Súc
Bến xe buýt Bến Súc
Tỉnh lộ 15, Xã An Nhơn Tây",Bến xe Tân Quy - Tỉnh lộ 8 - Tỉnh lộ 15 - Bến xe buýt Bến Súc.,"25,55 km",04:00 - 20:20,60 phút,15 – 20 phút,Samco City I.40,HTX Vận tải 19/5,Tiền mặt,
71,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",↔,"Phật Cô Đơn
Bãi xe Phật Cô Đơn
Mai Bá Hương, Xã Bình Lợi",Bến xe An Sương - Quốc lộ 22 - (quay đầu tại nút giao thông An Sương) - Quốc lộ 22 - Nguyễn Anh Thủ - Phan Văn Hớn - Phan Văn Đối - Vĩnh Lộc - Trần Văn Giàu - (cầu Xáng) - (quay đầu vị trí cách cầu Xáng 500 mét) - Trần Văn Giàu - (cầu Xáng) - Mai Bá Hương - Chùa Phật Cô Đơn - Mai Bá Hương - Ngã 3 Lý Văn Mạnh,"24,2 km",05:00 - 20:30,65 phút,10 – 20 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
72,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",↔,"Hiệp Phước
Bãi xe buýt Cầu Kênh Lộ
Nguyễn Văn Tạo, Xã Hiệp Phước",Công viên 23/9 - Phạm Ngũ Lão - Nguyễn Thái Học - Hoàng Diệu - Khánh Hội - Nguyễn Hữu Thọ - Nguyễn Văn Linh - (Quay đầu) -Nguyễn Văn Linh - Nguyễn Hữu Thọ - Nguyễn Văn Tạo - Bến Hiệp Phước (Gần cổng nhà tưởng niệm liệt sĩ huyện Nhà Bè).,"21,6 km",04:40 - 19:15,55 phút,7 – 14 phút,Samco City I.47 Samco City I.51,,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
73,"Chợ Bình Chánh
Quốc lộ 1A, Xã Bình Chánh",↔,"Khu công nghiệp Lê Minh Xuân
Trần Đại Nghĩa, Xã Bình Lợi","Chợ Bình Chánh-QL1A-Bùi Thanh Thiết-Nguyễn Hữu Trí-Chợ Đệm-Nguyễn Hữu Trí - quay đầu tại ngã ba Nguyễn Hữu Trí, Tân Túc - Nguyễn Hữu Trí-Cầu Chợ Đệm-Nguyễn Cửu Phú-Tỉnh lộ 10-QL1A-Đường số 7-Lộ Tẻ-Tỉnh lộ 10-Láng Le Bàu Cò-Khu công nghiệp Lê Minh Xuân.","22,35 km",04:30 - 19:00,60 phút,14 – 17 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
74,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",↔,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",Bến Xe An Sương - Quốc lộ 22 – (quay đầu tại nút giao thông An Sương) - Ngã 4 An Sương - Quốc lộ 22 - Bến xe Củ Chi,"21,85 km",03:30 - 21:00,45 phút,6 – 15 phút,Samco City I.51 CNG,,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
75,"Bến xe buýt Sài Gòn
Phường Bến Thành",↔,"Cần Giờ
Bến xe buýt Cần Giờ
Đào Cử, Xã Cần Giờ",Bãi đậu xe buýt Công viên 23/9 – Phạm Ngũ Lão – Đề Thám - Trần Hưng Đạo - Hàm Nghi - Tôn Đức Thắng - Nguyễn Tất Thành - Huỳnh Tấn Phát - Rừng Sác - Duyên Hải – Giồng Ao - Đào Cử (nối dài) – Lê Hùng Yên – Đào Cử - Bến xe Cần Thạnh.,"63,5 km",04:00 - 17:20,140 phút,90 – 210 phút,Bahai HC B40 (2014/2016),HTX Vận tải số 26,Tiền mặt,Không trợ giá
76,"Long Phước
Đầu bến Hẻm 813 Long Phước, Phường Long Phước",↔,"Bến xe Miền Đông mới
Quốc lộ 1A, Phường Long Bình",Hẻm 813 Long Phước-Long Phước-Long Thuận-Nguyễn Xiển-Lò Lu-Lã Xuân Oai-Làng Tăng Phú-Lê Văn Việt-Man Thiện-Lê Văn Việt-Xa lộ Hà Nội-Khu du lịch Suối Tiên-Xa lộ Hà Nội-Đường 400-Hoàng Hữu Nam-Đường số 11-Công viên Đền Vua Hùng.,"23,8 km",04:45 - 22:00,60 phút,8 – 20 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
77,"Đồng Hòa
Đầu bến Đồng Hòa
Duyên Hải, Xã Cần Giờ",↔,"Cần Thạnh
Bến xe buýt Cần Giờ
Đào Cử, Xã Cần Giờ",Đình Đồng Hòa - Duyên Hải - Nguyễn Văn Mạnh - Duyên Hải – Thạnh Thới – Hòa Hiệp – Lương Văn Nho - Duyên Hải - Đào Cử – quay đầu tại bến tàu Tắc Suất – Tắc Suất – Bến xe Cần Thạnh.,"16,3 km",05:00 - 20:00,35 phút,10 – 30 phút,Kim Long B30,,,
78,"Thới An
Bến xe buýt Thới An
Lê Văn Khương, Phường Thới An",Ngã 3 Giồng ↔,"Cầu Lớn
Bến xe buýt Cầu Lớn
Nguyễn Văn Bứa, Xã Xuân Thới Sơn",Bến Thới An - Lê Văn Khương - Đặng Thúc Vịnh (Tỉnh lộ 9 cũ) - Quang Trung - Lê Lợi - Ngã ba Hồng Châu - Dương Công Khi - Nguyễn Văn Bứa - Bến xe buýt Cầu Lớn.,"18,5 km",,60 phút,15 – 20 phút,Golden Dragon B55,,,
79,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",↔,"Đền Bến Dược
Đầu bến Bến Dược
Tỉnh lộ 15, Xã An Nhơn Tây",Bến xe Củ Chi - Quốc lộ 22 - Nguyễn Thị Rành - Tỉnh lộ 15 - Khu di tích lịch sử Bến Dược.,25 km,,45 phút,15 – 30 phút,,,,
81,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Lê Minh Xuân
Đối diện Văn phòng HTX Quyết Thắng
Vườn Thơm, Xã Bình Lợi",Ga Chợ Lớn A - Lê Quang Sung - Nguyễn Thị Nhỏ - Hồng Bàng - Bà Hom - Tỉnh lộ 10 - Cầu Xáng - Vườn Thơm - Bến Lê Minh Xuân (cuối đường Vườn Thơm),"22,4 km",04:15 - 19:50,65 phút,5 – 10 phút,Samco City I.47,,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
84,"Chợ Lớn
Bến xe buýt Chợ Lớn B, Phường Bình Tây",↔,"Tân Túc
Nguyễn Hữu Trí, Xã Tân Nhựt",Ga Chợ Lớn B - Lê Quang Sung - Phạm Đình Hổ - Hồng Bàng - Kinh Dương Vương - Quốc lộ 1 A - Nguyễn Hữu Trí -Tân Túc - Đường số 8 - Đường số 1 - Đường số 4A - Đường số 1A - Tân Túc - Nguyễn Hữu Trí - Thị trấn Tân Túc (Cống Ông Cốm).,"17,3 km",04:40 - 19:30,47 phút,12 – 20 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
